;ID;FECHA_UTC;HORA_UTC;LATITUD;LONGITUD;PROFUNDIDAD;MAGNITUD;FECHA_CORTE;geometry;UBICACION;MAGNITUD_CAT;PROFUNDIDAD_CAT;LUGAR
8966;8966;2000;13655;-11.4335;-73.1931;23;4.5;20223006;POINT (-73.1931 -11.4335);-11.4335,-73.1931;Moderado;Superficial;Cusco
8968;8968;2000;74335;-10.4288;-74.5296;120;4.5;20223006;POINT (-74.5296 -10.4288);-10.4288,-74.5296;Moderado;Intermedia;Pasco
8970;8970;2000;54032;-7.7752;-74.113;152;4.5;20223006;POINT (-74.113 -7.7752);-7.7752,-74.113;Moderado;Intermedia;Ucayali
8971;8971;2000;230851;-6.2915;-80.7505;28;5.1;20223006;POINT (-80.7505 -6.2915);-6.2915,-80.7505;Moderado;Superficial;Piura
8973;8973;2000;110348;-11.2976;-75.1023;21;5.5;20223006;POINT (-75.1023 -11.2976);-11.2976,-75.1023;Moderado;Superficial;Junin
8974;8974;2000;31429;-5.3579;-76.5236;137;4.9;20223006;POINT (-76.5236 -5.3579);-5.3579,-76.5236;Moderado;Intermedia;Loreto
8976;8976;2000;232244;-9.9615;-74.4041;21;4.9;20223006;POINT (-74.4041 -9.9615);-9.9615,-74.4041;Moderado;Superficial;Ucayali
8977;8977;2000;13419;-6.703;-76.5715;125;4.9;20223006;POINT (-76.5715 -6.703);-6.703,-76.5715;Moderado;Intermedia;San Martin
8978;8978;2000;90832;-5.1209;-77.3373;49;4.7;20223006;POINT (-77.3373 -5.1209);-5.1209,-77.3373;Moderado;Superficial;Loreto
8979;8979;2000;171954;-5.8287;-77.0536;81;4.6;20223006;POINT (-77.0536 -5.8287);-5.8287,-77.0536;Moderado;Intermedia;San Martin
8980;8980;2000;20022;-8.6008;-73.7834;179;5.2;20223006;POINT (-73.7834 -8.6008);-8.6008,-73.7834;Moderado;Intermedia;Ucayali
8981;8981;2000;210803;-14.802;-72.5284;26;5.0;20223006;POINT (-72.5284 -14.802);-14.802,-72.5284;Moderado;Superficial;Arequipa
8982;8982;2000;54323;-11.7189;-73.1218;31;4.6;20223006;POINT (-73.1218 -11.7189);-11.7189,-73.1218;Moderado;Superficial;Cusco
8983;8983;2000;164059;-7.8612;-78.5991;78;4.5;20223006;POINT (-78.5991 -7.8612);-7.8612,-78.5991;Moderado;Intermedia;La Libertad
8984;8984;2000;51254;-13.8347;-71.8828;72;5.1;20223006;POINT (-71.8828 -13.8347);-13.8347,-71.8828;Moderado;Intermedia;Cusco
8987;8987;2000;71902;-5.0258;-79.5713;95;5.1;20223006;POINT (-79.5713 -5.0258);-5.0258,-79.5713;Moderado;Intermedia;Piura
8988;8988;2000;72039;-5.5398;-79.6784;97;4.8;20223006;POINT (-79.6784 -5.5398);-5.5398,-79.6784;Moderado;Intermedia;Piura
8991;8991;2000;172059;-15.953;-73.7363;95;5.2;20223006;POINT (-73.7363 -15.953);-15.953,-73.7363;Moderado;Intermedia;Arequipa
8992;8992;2000;191407;-12.0725;-73.056;125;4.7;20223006;POINT (-73.056 -12.0725);-12.0725,-73.056;Moderado;Intermedia;Cusco
8993;8993;2000;94057;-11.6054;-73.43;12;4.8;20223006;POINT (-73.43 -11.6054);-11.6054,-73.43;Moderado;Superficial;Cusco
8995;8995;2000;102443;-14.8096;-74.0728;114;4.6;20223006;POINT (-74.0728 -14.8096);-14.8096,-74.0728;Moderado;Intermedia;Ayacucho
8996;8996;2000;110913;-15.3862;-72.9537;102;5.7;20223006;POINT (-72.9537 -15.3862);-15.3862,-72.9537;Moderado;Intermedia;Arequipa
8999;8999;2000;145605;-13.9076;-73.1009;50;4.6;20223006;POINT (-73.1009 -13.9076);-13.9076,-73.1009;Moderado;Superficial;Apurimac
9001;9001;2000;91953;-15.1851;-72.9995;27;5.1;20223006;POINT (-72.9995 -15.1851);-15.1851,-72.9995;Moderado;Superficial;Arequipa
9002;9002;2000;12641;-4.5321;-79.8846;24;4.5;20223006;POINT (-79.8846 -4.5321);-4.5321,-79.8846;Moderado;Superficial;Piura
9003;9003;2000;31238;-9.1164;-78.2364;72;5.1;20223006;POINT (-78.2364 -9.1164);-9.1164,-78.2364;Moderado;Intermedia;Ancash
9004;9004;2000;33744;-10.0036;-74.3403;29;4.6;20223006;POINT (-74.3403 -10.0036);-10.0036,-74.3403;Moderado;Superficial;Ucayali
9005;9005;2000;90729;-14.5486;-75.8715;58;4.8;20223006;POINT (-75.8715 -14.5486);-14.5486,-75.8715;Moderado;Superficial;Ica
9008;9008;2000;173739;-6.258;-80.814;7;4.7;20223006;POINT (-80.814 -6.258);-6.258,-80.814;Moderado;Superficial;Piura
9009;9009;2000;42742;-7.9328;-74.5375;120;6.1;20223006;POINT (-74.5375 -7.9328);-7.9328,-74.5375;Fuerte;Intermedia;Ucayali
9011;9011;2000;55206;-7.9887;-76.0729;104;4.8;20223006;POINT (-76.0729 -7.9887);-7.9887,-76.0729;Moderado;Intermedia;San Martin
9019;9019;2000;71707;-8.4473;-74.2978;149;4.5;20223006;POINT (-74.2978 -8.4473);-8.4473,-74.2978;Moderado;Intermedia;Ucayali
9020;9020;2000;174918;-3.3403;-77.5775;58;4.8;20223006;POINT (-77.5775 -3.3403);-3.3403,-77.5775;Moderado;Superficial;Loreto
9021;9021;2000;135142;-16.3068;-72.6959;80;4.7;20223006;POINT (-72.6959 -16.3068);-16.3068,-72.6959;Moderado;Intermedia;Arequipa
9022;9022;2000;5855;-15.8804;-73.27;12;4.5;20223006;POINT (-73.27 -15.8804);-15.8804,-73.27;Moderado;Superficial;Arequipa
9025;9025;2000;223042;-17.5431;-70.0917;147;4.5;20223006;POINT (-70.0917 -17.5431);-17.5431,-70.0917;Moderado;Intermedia;Tacna
9026;9026;2000;133802;-4.8296;-80.8465;37;4.5;20223006;POINT (-80.8465 -4.8296);-4.8296,-80.8465;Moderado;Superficial;Piura
9033;9033;2000;91349;-6.5138;-75.9355;144;4.7;20223006;POINT (-75.9355 -6.5138);-6.5138,-75.9355;Moderado;Intermedia;San Martin
9035;9035;2000;190512;-14.1705;-75.7997;66;5.0;20223006;POINT (-75.7997 -14.1705);-14.1705,-75.7997;Moderado;Intermedia;Ica
9038;9038;2000;14258;-4.09;-80.8372;20;4.6;20223006;POINT (-80.8372 -4.09);-4.09,-80.8372;Moderado;Superficial;Tumbes
9039;9039;2000;13726;-10.5462;-74.9898;44;4.8;20223006;POINT (-74.9898 -10.5462);-10.5462,-74.9898;Moderado;Superficial;Pasco
9040;9040;2000;150528;-2.9031;-76.5341;60;5.4;20223006;POINT (-76.5341 -2.9031);-2.9031,-76.5341;Moderado;Intermedia;Loreto
9043;9043;2000;225756;-6.8807;-75.8153;110;4.7;20223006;POINT (-75.8153 -6.8807);-6.8807,-75.8153;Moderado;Intermedia;Loreto
9044;9044;2000;152050;-6.8662;-75.6535;118;4.9;20223006;POINT (-75.6535 -6.8662);-6.8662,-75.6535;Moderado;Intermedia;Loreto
9045;9045;2000;190417;-5.2748;-77.0624;17;4.5;20223006;POINT (-77.0624 -5.2748);-5.2748,-77.0624;Moderado;Superficial;Loreto
9046;9046;2000;20637;-6.7965;-76.4825;64;4.5;20223006;POINT (-76.4825 -6.7965);-6.7965,-76.4825;Moderado;Intermedia;San Martin
9047;9047;2000;34322;-8.7054;-74.081;106;4.8;20223006;POINT (-74.081 -8.7054);-8.7054,-74.081;Moderado;Intermedia;Ucayali
9048;9048;2000;80924;-8.1078;-74.8489;123;4.9;20223006;POINT (-74.8489 -8.1078);-8.1078,-74.8489;Moderado;Intermedia;Ucayali
9052;9052;2000;55928;-10.1328;-75.3781;29;4.8;20223006;POINT (-75.3781 -10.1328);-10.1328,-75.3781;Moderado;Superficial;Pasco
9053;9053;2000;35642;-5.9444;-75.1445;138;4.8;20223006;POINT (-75.1445 -5.9444);-5.9444,-75.1445;Moderado;Intermedia;Loreto
9054;9054;2000;175217;-8.8125;-74.9363;157;4.9;20223006;POINT (-74.9363 -8.8125);-8.8125,-74.9363;Moderado;Intermedia;Ucayali
9055;9055;2000;174540;-13.7368;-70.7206;157;4.7;20223006;POINT (-70.7206 -13.7368);-13.7368,-70.7206;Moderado;Intermedia;Puno
9057;9057;2000;141236;-15.6389;-73.9074;29;4.6;20223006;POINT (-73.9074 -15.6389);-15.6389,-73.9074;Moderado;Superficial;Arequipa
9058;9058;2000;72615;-6.6398;-75.5175;149;4.6;20223006;POINT (-75.5175 -6.6398);-6.6398,-75.5175;Moderado;Intermedia;San Martin
